statisticalMethodOverview,count,comment,whatToDo
Burden test carried out with rare missense variants including low-confidence pLOF and in-frame indels.,2254,,notGet
Burden test carried out with LoF and missense variants with a MAF smaller than 0.1% and applying the burden test.,9,,notGet
Burden test carried out with MTR-informed rare missense variants with a MAF smaller than 0.005%.,287,"Missense Tolerance Ratio (MTR), a measure of regional intolerance to missense variation calculated using variation from 240 000 exome and genome sequences",notGet
Burden test carried out with non-synonymous recessive variants with a MAF smaller than 1%.,209,,notGet
Burden test carried out with MTR-informed non synonymous variants with a MAF smaller than 0.01%.,1019,,notGet
Burden test carried out with PTV and missense variants (MPC > 2) with a MAF smaller than 0.001%.,102,,notGet
Burden test carried out with PTV or rare missense variants.,1599,,notGet
Burden test carried out with pLOF or missense variants.,2747,,notGet
Burden test carried out with rare missense variants with a MAF smaller than 0.005%.,666,,notGet
Meta-analysis of burden tests carried out with PTVs and missense variants (MPC > 2) with a MAF smaller than 0.005%,10,,notGet
Burden test carried out with LoF and missense variants with a MAF smaller than 0.1% and applying the variable threshold test.,4,,notGet
Meta-analysis of burden tests carried out with missense de novo and LoF variants with a MAF smaller than 0.005%,56,,notGet
Burden test carried out with rare synonymous variants.,636,,notGet
Meta-analysis of burden tests carried out with missense variants with a MAF smaller than 0.1%,1,,notGet
Meta-analysis of burden tests carried out with variants of high or moderate impact with a MAF smaller than 0.1%,1,,notGet
Burden test carried out with LoF and missense variants with a MAF smaller than 0.1% and applying the Madsen and Browning test.,2,,notGet
Burden test carried out with all coding region variants plus untranslated regions (UTRs) and essential splice sites and applying the Madsen and Browning test.,1,,notGet
SKAT-O test carried out with variants of high or moderate impact with a MAF smaller than 1%,1,,notGet
Burden test carried out with all coding region variants plus untranslated regions (UTRs) and essential splice sites and applying the burden test.,3,,notGet
Meta-analysis of burden tests carried out with missense variants with a MAF smaller than 1%,1,,notGet
"Burden test carried out with PTV,missense variants and in-frame indels with a MAF smaller than 0%.",1,,notGet
Meta-analysis of SKAT-O tests carried out with LOF and missense variants with a MAF smaller than 1%,52,,noGet
Burden test carried out with pLOF variants with a MAF smaller than 1%.,955,,get
Burden test carried out with singleton pLOF variants.,182,,get
Burden test carried out with singleton pLOF and deleterious missense variants.,192,What are deleterous missense variants? ,get
Burden test carried out with pLOF and deleterious missense variants with a MAF smaller than 0.01%.,905,What are deleterous missense variants? ,get
Burden test carried out with pLOF variants with a MAF smaller than 0.01%.,752,,get
Burden test carried out with pLOF and deleterious missense variants with a MAF smaller than 1%.,13,,get
Burden test carried out with pLOF and deleterious missense variants with a MAF smaller than 0.1%.,1088,,get
Burden test carried out with pLOF and deleterious missense variants with a MAF smaller than 0.001%.,516,What are deleterous missense variants? ,get
Burden test carried out with damaging variants with a MAF smaller than 0.01%.,1739,What are damaging variants,get
Burden test carried out with PTVs with a MAF smaller than 0.1%.,1948,,get
Meta-analysis of SKAT-O tests carried out with LOF variants with a MAF smaller than 1%,50,,get
Burden test carried out with pLOF variants with a MAF smaller than 0.1%.,841,,get
Burden test carried out with PTVs with a MAF smaller than 5%.,2379,,get
Burden test carried out with MTR-informed ultra rare damaging variants (MAF ≈ 0%).,931,What are damaging variants,get
Burden test carried out with pLOFs and deleterious missense variants with a MAF smaller than 1%.,1475,,get
Burden test carried out with rare pLOF variants.,2264,,get
Burden test carried out with ultra rare damaging variants (MAF ≈ 0%).,990,What are ultrarare damaging variants,get
Burden test carried out with pLOF variants with a MAF smaller than 0.001%.,481,,get
Meta-analysis of burden tests carried out with pLOF variants and with a MAF smaller than 0.1%,3,,get
Burden test carried out with PTVs with a MAF smaller than 0.01%.,2,,get
SKAT-O test carried out with variants predicted to be deleterious or LOF and with a MAF smaller than 1%,2,,get
Burden test carried out with PTV with a MAF smaller than 0.1%.,2,,get
Burden test carried out with LoF variants predicted as high confidence by LOFTEE with a MAF smaller than 0.1% and applying the variable threshold test.,1,,get
Burden test carried out with LoF variants predicted as high confidence by LOFTEE with a MAF smaller than 0.1% and applying the burden test.,1,,get
