original,curated,curated_simplified,,
Whole_Blood - EFO_0005803 - hematologic disease,Whole_Blood - EFO_0005803 - hematologic disease,Whole_Blood - EFO_0005803 - hematologic disease,,
VAGINA - OTAR_0000017 - reproductive system or breast disease,Vagina - OTAR_0000017 - reproductive system or breast disease,Vagina - OTAR_0000017 - reproductive system or breast disease,,
Vagina - OTAR_0000017 - reproductive system or breast disease,Vagina - OTAR_0000017 - reproductive system or breast disease,Vagina - OTAR_0000017 - reproductive system or breast disease,,
UTERUS - OTAR_0000014 - pregnancy or perinatal disease,Uterus - OTAR_0000017 - reproductive system or breast disease,Uterus - OTAR_0000017 - reproductive system or breast disease,,
Uterus - OTAR_0000014 - pregnancy or perinatal disease,Uterus - OTAR_0000017 - reproductive system or breast disease,Uterus - OTAR_0000017 - reproductive system or breast disease,,
UBERON_0001969 - Other,UBERON_0001969 - EFO_0005803 - hematologic disease,UBERON_0001969 - EFO_0005803 - hematologic disease,,
UBERON_0000178 - Other,UBERON_0000178 - EFO_0005803 - hematologic disease,UBERON_0000178 - EFO_0005803 - hematologic disease,,
TREG_NAIVE - EFO_0000540 - immune system disease,TREG_NAIVE - EFO_0000540 - immune system disease,TREG_NAIVE - EFO_0000540 - immune system disease,,
TREG_MEMORY - EFO_0000540 - immune system disease,TREG_MEMORY - EFO_0000540 - immune system disease,TREG_MEMORY - EFO_0000540 - immune system disease,,
TRANSVERSE_COLON - EFO_0000319 - cardiovascular disease,TRANSVERSE_COLON - EFO_0010282 - gastrointestinal disease,TRANSVERSE_COLON - EFO_0010282 - gastrointestinal disease,,
THYROID - EFO_0001379 - endocrine system disease,THYROID - EFO_0001379 - endocrine system disease,Thyroid - EFO_0001379 - endocrine system disease,,
Thyroid - EFO_0001379 - endocrine system disease,Thyroid - EFO_0001379 - endocrine system disease,Thyroid - EFO_0001379 - endocrine system disease,,
TH2_MEMORY - EFO_0000540 - immune system disease,TH2_MEMORY - EFO_0000540 - immune system disease,TH2_MEMORY - EFO_0000540 - immune system disease,,
TH17_MEMORY - EFO_0000540 - immune system disease,TH17_MEMORY - EFO_0000540 - immune system disease,TH17_MEMORY - EFO_0000540 - immune system disease,,
TH1-17_MEMORY - EFO_0000540 - immune system disease,TH1-17_MEMORY - EFO_0000540 - immune system disease,TH1-17_MEMORY - EFO_0000540 - immune system disease,,
TH1_MEMORY - EFO_0000540 - immune system disease,TH1_MEMORY - EFO_0000540 - immune system disease,TH1_MEMORY - EFO_0000540 - immune system disease,,
TFH_MEMORY - EFO_0000540 - immune system disease,TFH_MEMORY - EFO_0000540 - immune system disease,TFH_MEMORY - EFO_0000540 - immune system disease,,
TESTIS - OTAR_0000014 - pregnancy or perinatal disease,TESTIS - OTAR_0000017 - reproductive system or breast disease,Testis - OTAR_0000017 - reproductive system or breast disease,,
Testis - OTAR_0000014 - pregnancy or perinatal disease,Testis - OTAR_0000017 - reproductive system or breast disease,Testis - OTAR_0000017 - reproductive system or breast disease,,
T-CELL_CD8 - EFO_0000540 - immune system disease,T-CELL_CD8 - EFO_0000540 - immune system disease,T-CELL_CD8 - EFO_0000540 - immune system disease,,
T-CELL_CD4 - EFO_0000540 - immune system disease,T-CELL_CD4 - EFO_0000540 - immune system disease,T-CELL_CD4 - EFO_0000540 - immune system disease,,
T-CELL - EFO_0000540 - immune system disease,T-CELL - EFO_0000540 - immune system disease,T-CELL - EFO_0000540 - immune system disease,,
SYNOVIUM_NAIVE - EFO_0000540 - immune system disease,SYNOVIUM_NAIVE - OTAR_0000006 - musculoskeletal or connective tissue disease,SYNOVIUM_NAIVE - OTAR_0000006 - musculoskeletal or connective tissue disease,,
SUBSTANTIA_NIGRA - EFO_0000618 - nervous system disease,SUBSTANTIA_NIGRA - EFO_0000618 - nervous system disease,SUBSTANTIA_NIGRA - EFO_0000618 - nervous system disease,,
STOMACH - EFO_0000319 - cardiovascular disease,STOMACH - EFO_0010282 - gastrointestinal disease,Stomach - EFO_0010282 - gastrointestinal disease,,
Stomach - EFO_0000319 - cardiovascular disease,Stomach - EFO_0010282 - gastrointestinal disease,Stomach - EFO_0010282 - gastrointestinal disease,,
Spleen - EFO_0000540 - immune system disease,Spleen - EFO_0000540 - immune system disease,Spleen - EFO_0000540 - immune system disease,,
SPLEEN - EFO_0000540 - immune system disease,SPLEEN - EFO_0000540 - immune system disease,Spleen - EFO_0000540 - immune system disease,,
Small_Intestine_Terminal_Ileum - EFO_0000319 - cardiovascular disease,Small_Intestine_Terminal_Ileum - EFO_0010282 - gastrointestinal disease,Small_Intestine_Terminal_Ileum - EFO_0010282 - gastrointestinal disease,,
SMALL_INTESTINE - EFO_0000319 - cardiovascular disease,SMALL_INTESTINE - EFO_0010282 - gastrointestinal disease,SMALL_INTESTINE - EFO_0010282 - gastrointestinal disease,,
Skin_Sun_Exposed_Lower_leg - EFO_0005932 - animal disease,Skin_Sun_Exposed_Lower_leg - EFO_0010285 - integumentary system disease,Skin_Sun_Exposed_Lower_leg - EFO_0010285 - integumentary system disease,,
SKIN_SUN_EXPOSED - EFO_0005932 - animal disease,SKIN_SUN_EXPOSED - EFO_0010285 - integumentary system disease,SKIN_SUN_EXPOSED - EFO_0010285 - integumentary system disease,,
Skin_Not_Sun_Exposed_Suprapubic - EFO_0005932 - animal disease,Skin_Not_Sun_Exposed_Suprapubic - EFO_0010285 - integumentary system disease,Skin_Not_Sun_Exposed_Suprapubic - EFO_0010285 - integumentary system disease,,
SKIN_NOT_SUN_EXPOSED - EFO_0005932 - animal disease,SKIN_NOT_SUN_EXPOSED - EFO_0010285 - integumentary system disease,SKIN_NOT_SUN_EXPOSED - EFO_0010285 - integumentary system disease,,
SKIN - EFO_0010285 - integumentary system disease,SKIN - EFO_0010285 - integumentary system disease,SKIN - EFO_0010285 - integumentary system disease,,
SENSORY_NEURON - EFO_0000618 - nervous system disease,SENSORY_NEURON - EFO_0000618 - nervous system disease,SENSORY_NEURON - EFO_0000618 - nervous system disease,,
RECTUM - EFO_0000319 - cardiovascular disease,RECTUM - EFO_0010282 - gastrointestinal disease,RECTUM - EFO_0010282 - gastrointestinal disease,,
PUTAMEN - EFO_0000618 - nervous system disease,PUTAMEN - EFO_0000618 - nervous system disease,PUTAMEN - EFO_0000618 - nervous system disease,,
Prostate - OTAR_0000017 - reproductive system or breast disease,Prostate - OTAR_0000017 - reproductive system or breast disease,Prostate - OTAR_0000017 - reproductive system or breast disease,,
PROSTATE - OTAR_0000017 - reproductive system or breast disease,PROSTATE - OTAR_0000017 - reproductive system or breast disease,Prostate - OTAR_0000017 - reproductive system or breast disease,,
PLATELET - EFO_0005803 - hematologic disease,PLATELET - EFO_0005803 - hematologic disease,PLATELET - EFO_0005803 - hematologic disease,,
PLACENTA_NAIVE - OTAR_0000014 - pregnancy or perinatal disease,PLACENTA_NAIVE - OTAR_0000014 - pregnancy or perinatal disease,PLACENTA_NAIVE - OTAR_0000014 - pregnancy or perinatal disease,,
Pituitary - OTAR_0000017 - reproductive system or breast disease,Pituitary - EFO_0001379 - endocrine system disease,Pituitary - EFO_0001379 - endocrine system disease,,
PITUITARY - OTAR_0000017 - reproductive system or breast disease,PITUITARY - EFO_0001379 - endocrine system disease,Pituitary - EFO_0001379 - endocrine system disease,,
PANCREATIC_ISLET - EFO_0009605 - pancreas disease,PANCREATIC_ISLET - EFO_0009605 - pancreas disease,PANCREATIC_ISLET - EFO_0009605 - pancreas disease,,
Pancreas - EFO_0009605 - pancreas disease,Pancreas - EFO_0009605 - pancreas disease,Pancreas - EFO_0009605 - pancreas disease,,
PANCREAS - EFO_0009605 - pancreas disease,PANCREAS - EFO_0009605 - pancreas disease,Pancreas - EFO_0009605 - pancreas disease,,
OVARY - Other,OVARY - OTAR_0000017 - reproductive system or breast disease,Ovary - OTAR_0000017 - reproductive system or breast disease,,
Ovary - Other,Ovary - OTAR_0000017 - reproductive system or breast disease,Ovary - OTAR_0000017 - reproductive system or breast disease,,
NK-CELL_NAIVE - EFO_0000540 - immune system disease,NK-CELL_NAIVE - EFO_0000540 - immune system disease,NK-CELL_NAIVE - EFO_0000540 - immune system disease,,
NEUTROPHIL_CD16 - EFO_0000540 - immune system disease,NEUTROPHIL_CD16 - EFO_0000540 - immune system disease,NEUTROPHIL_CD16 - EFO_0000540 - immune system disease,,
NEUTROPHIL_CD15 - EFO_0000540 - immune system disease,NEUTROPHIL_CD15 - EFO_0000540 - immune system disease,NEUTROPHIL_CD15 - EFO_0000540 - immune system disease,,
NEUTROPHIL - EFO_0000540 - immune system disease,NEUTROPHIL - EFO_0000540 - immune system disease,NEUTROPHIL - EFO_0000540 - immune system disease,,
Nerve_Tibial - EFO_0000618 - nervous system disease,Nerve_Tibial - EFO_0000618 - nervous system disease,Nerve_Tibial - EFO_0000618 - nervous system disease,,
NERVE_TIBIAL - EFO_0000618 - nervous system disease,NERVE_TIBIAL - EFO_0000618 - nervous system disease,NERVE_TIBIAL - EFO_0000618 - nervous system disease,,
Muscle_Skeletal - EFO_0005803 - hematologic disease,Muscle_Skeletal - OTAR_0000006 - musculoskeletal or connective tissue disease,Muscle_Skeletal - OTAR_0000006 - musculoskeletal or connective tissue disease,,
MUSCLE_NAIVE - EFO_0005803 - hematologic disease,MUSCLE_NAIVE - OTAR_0000006 - musculoskeletal or connective tissue disease,MUSCLE_NAIVE - OTAR_0000006 - musculoskeletal or connective tissue disease,,
MUSCLE - EFO_0005803 - hematologic disease,MUSCLE - OTAR_0000006 - musculoskeletal or connective tissue disease,MUSCLE - OTAR_0000006 - musculoskeletal or connective tissue disease,,
MONOCYTE_R848 - EFO_0000540 - immune system disease,MONOCYTE_R848 - EFO_0000540 - immune system disease,MONOCYTE_R848 - EFO_0000540 - immune system disease,,
MONOCYTE_PAM3CSK4 - EFO_0000540 - immune system disease,MONOCYTE_PAM3CSK4 - EFO_0000540 - immune system disease,MONOCYTE_PAM3CSK4 - EFO_0000540 - immune system disease,,
MONOCYTE_NAIVE - EFO_0000540 - immune system disease,MONOCYTE_NAIVE - EFO_0000540 - immune system disease,MONOCYTE_NAIVE - EFO_0000540 - immune system disease,,
MONOCYTE_LPS24 - EFO_0000540 - immune system disease,MONOCYTE_LPS24 - EFO_0000540 - immune system disease,MONOCYTE_LPS24 - EFO_0000540 - immune system disease,,
MONOCYTE_LPS2 - EFO_0000540 - immune system disease,MONOCYTE_LPS2 - EFO_0000540 - immune system disease,MONOCYTE_LPS2 - EFO_0000540 - immune system disease,,
MONOCYTE_LPS - EFO_0000540 - immune system disease,MONOCYTE_LPS - EFO_0000540 - immune system disease,MONOCYTE_LPS - EFO_0000540 - immune system disease,,
MONOCYTE_IFN24 - EFO_0000540 - immune system disease,MONOCYTE_IFN24 - EFO_0000540 - immune system disease,MONOCYTE_IFN24 - EFO_0000540 - immune system disease,,
MONOCYTE_IAV - EFO_0000540 - immune system disease,MONOCYTE_IAV - EFO_0000540 - immune system disease,MONOCYTE_IAV - EFO_0000540 - immune system disease,,
MONOCYTE_CD16_NAIVE - EFO_0000540 - immune system disease,MONOCYTE_CD16_NAIVE - EFO_0000540 - immune system disease,MONOCYTE_CD16_NAIVE - EFO_0000540 - immune system disease,,
MONOCYTE_CD14 - EFO_0000540 - immune system disease,MONOCYTE_CD14 - EFO_0000540 - immune system disease,MONOCYTE_CD14 - EFO_0000540 - immune system disease,,
MONOCYTE - EFO_0000540 - immune system disease,MONOCYTE - EFO_0000540 - immune system disease,MONOCYTE - EFO_0000540 - immune system disease,,
MINOR_SALIVARY_GLAND - OTAR_0000014 - pregnancy or perinatal disease,MINOR_SALIVARY_GLAND - EFO_0010282 - gastrointestinal disease,Minor_Salivary_Gland - EFO_0010282 - gastrointestinal disease,,
Minor_Salivary_Gland - OTAR_0000014 - pregnancy or perinatal disease,Minor_Salivary_Gland - EFO_0010282 - gastrointestinal disease,Minor_Salivary_Gland - EFO_0010282 - gastrointestinal disease,,
MICROGLIA_NAIVE - EFO_0000540 - immune system disease,MICROGLIA_NAIVE - EFO_0000540 - immune system disease,MICROGLIA_NAIVE - EFO_0000540 - immune system disease,,
MACROPHAGE_SALMONELLA - EFO_0000540 - immune system disease,MACROPHAGE_SALMONELLA - EFO_0000540 - immune system disease,MACROPHAGE_SALMONELLA - EFO_0000540 - immune system disease,,
MACROPHAGE_NAIVE - EFO_0000540 - immune system disease,MACROPHAGE_NAIVE - EFO_0000540 - immune system disease,MACROPHAGE_NAIVE - EFO_0000540 - immune system disease,,
MACROPHAGE_LISTERIA - EFO_0000540 - immune system disease,MACROPHAGE_LISTERIA - EFO_0000540 - immune system disease,MACROPHAGE_LISTERIA - EFO_0000540 - immune system disease,,
MACROPHAGE_IFNG+SALMONELLA - EFO_0000540 - immune system disease,MACROPHAGE_IFNG+SALMONELLA - EFO_0000540 - immune system disease,MACROPHAGE_IFNG+SALMONELLA - EFO_0000540 - immune system disease,,
MACROPHAGE_IFNG - EFO_0000540 - immune system disease,MACROPHAGE_IFNG - EFO_0000540 - immune system disease,MACROPHAGE_IFNG - EFO_0000540 - immune system disease,,
LUNG - EFO_0000319 - cardiovascular disease,LUNG - OTAR_0000010 - respiratory or thoracic disease,Lung - OTAR_0000010 - respiratory or thoracic disease,,
Lung - EFO_0000319 - cardiovascular disease,Lung - OTAR_0000010 - respiratory or thoracic disease,Lung - OTAR_0000010 - respiratory or thoracic disease,,
LOW_GRADE_CARTILAGE_NAIVE - EFO_0005803 - hematologic disease,LOW_GRADE_CARTILAGE_NAIVE - OTAR_0000006 - musculoskeletal or connective tissue disease,LOW_GRADE_CARTILAGE_NAIVE - OTAR_0000006 - musculoskeletal or connective tissue disease,,
LIVER - OTAR_0000014 - pregnancy or perinatal disease,LIVER - EFO_0010282 - gastrointestinal disease,LIVER - EFO_0010282 - gastrointestinal disease,,
Liver - EFO_0000319 - cardiovascular disease,Liver - EFO_0010282 - gastrointestinal disease,Liver - EFO_0010282 - gastrointestinal disease,,
LCL_STATIN - Other,LCL_STATIN - GO_0008150 - biological process,LCL_STATIN - GO_0008150 - biological process,,
